agent,episode,actions_including_terminal,manuscript_steps,end_reason,success
LLM Baseline,1,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,2,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,3,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,4,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,5,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,6,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,7,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,8,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,9,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,10,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,11,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,12,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,13,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,14,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,15,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,16,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,17,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,18,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,19,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,20,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,21,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,22,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,23,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,24,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,25,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,26,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,27,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,28,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,29,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,30,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,31,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,32,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,33,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,34,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,35,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,36,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,37,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,38,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,39,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,40,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,41,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,42,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,43,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,44,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,45,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,46,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,47,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,48,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,49,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,50,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,51,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,52,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,53,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,54,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,55,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,56,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,57,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,58,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,59,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,60,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,61,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,62,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,63,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,64,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,65,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,66,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,67,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,68,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,69,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,70,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,71,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,72,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,73,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,74,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,75,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,76,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,77,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,78,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,79,100,100,AgentStatus.TimeoutReached,False
LLM Baseline,80,100,100,AgentStatus.TimeoutReached,False
