panel,display_file,category,count,pct
ALL,Genetic Agent,Good,1163161,16.825388789159177
ALL,Genetic Agent,Boring,5691882,82.33436952581536
ALL,Genetic Agent,Bad,58087,0.8402416850254515
BEPR,Genetic Agent,Good,191,68.45878136200717
BEPR,Genetic Agent,Boring,88,31.54121863799283
BEPR,Genetic Agent,Bad,0,0.0
ALL,Random Agent,Good,1196966,16.625853227743434
ALL,Random Agent,Boring,5937055,82.46567156881673
ALL,Random Agent,Bad,65405,0.9084752034398298
BEPR,Random Agent,Good,220,52.25653206650831
BEPR,Random Agent,Boring,201,47.74346793349169
BEPR,Random Agent,Bad,0,0.0
ALL,GPT4o Agent,Good,781314,11.62013243709357
ALL,GPT4o Agent,Boring,5883955,87.50942176115991
ALL,GPT4o Agent,Bad,58527,0.8704458017465133
BEPR,GPT4o Agent,Good,158,90.28571428571428
BEPR,GPT4o Agent,Boring,17,9.714285714285714
BEPR,GPT4o Agent,Bad,0,0.0
ALL,Expert Defined (GPT o3-mini),Good,491836,6.971128769633389
ALL,Expert Defined (GPT o3-mini),Boring,6496797,92.08355727756386
ALL,Expert Defined (GPT o3-mini),Bad,66695,0.9453139528027612
BEPR,Expert Defined (GPT o3-mini),Good,151,96.17834394904459
BEPR,Expert Defined (GPT o3-mini),Boring,6,3.821656050955414
BEPR,Expert Defined (GPT o3-mini),Bad,0,0.0
