panel,display_file,category,count,pct
ALL,Genetic Agent,Good,1163161,16.825388789159177
ALL,Genetic Agent,Boring,5749969,83.17461121084082
BEPR,Genetic Agent,Good,191,68.45878136200717
BEPR,Genetic Agent,Boring,88,31.54121863799283
ALL,Random Agent,Good,1196966,16.625853227743434
ALL,Random Agent,Boring,6002460,83.37414677225657
BEPR,Random Agent,Good,220,52.25653206650831
BEPR,Random Agent,Boring,201,47.74346793349169
ALL,GPT4o Agent,Good,781314,11.62013243709357
ALL,GPT4o Agent,Boring,5942482,88.37986756290644
BEPR,GPT4o Agent,Good,158,90.28571428571428
BEPR,GPT4o Agent,Boring,17,9.714285714285714
ALL,Expert Defined (GPT o3-mini),Good,491836,6.971128769633389
ALL,Expert Defined (GPT o3-mini),Boring,6563492,93.0288712303666
BEPR,Expert Defined (GPT o3-mini),Good,151,96.17834394904459
BEPR,Expert Defined (GPT o3-mini),Boring,6,3.821656050955414
